DCA ID,Agency Name,Blue Agency ID - 1236,Blue Agency ID - 1126,Blue Agency ID - 1066,Blue Agency ID - 1116,Blue Agency ID - 1216,IABBB TOB ID
19,Acupuncture Board,1236-2472,1126-3941,1066-1,1116-43,1216-43,
31,"Board for Professional Engineers, Land Surveyors, and Geologists",1236-2352,1126-3919,1066-26,1116-235,1216-66,
21,Board Of Accountancy,1236-2441,1126-3348,1066-52,1116-46,1216-42,
1,Board of Barbering and Cosmetology,1236-2445,1126-3915,1066-24,1116-20,1216-46,
3,Board of Behavioral Sciences,1236-2327,1126-3916,1066-25,1116-21,1216-47,
35,Board Of Chiropractic Examiners,1236-2331,1126-3206,1066-51,1116-47,1216-49,
7,Board of Optometry,1236-2242,1126-3966,1066-70,1116-48,1216-57,
30,Board Of Pharmacy,1236-2646,1126-2978,1066-53,1116-22,1216-59,
12,Board of Psychology ,1236-2477,1126-3245,1066-23,1116-23,1216-68,
5,Board of Registered Nursing,1236-2173,1126-3926,1066-28,1116-24,1216-69,
8,Board of Vocational Nursing and Psychiatric Technicians,1236-2392,1126-3956,1066-498,1116-25,1216-75,
20,Bureau Of Automotive Repair,1236-2444,1126-3907,1066-34,1116-34,1216-1,
24,Bureau of Household Goods and Services,1236-2136,1126-3923,1066-35,1116-35,1216-3,
2,Bureau of Security and Investigative Services,1236-2422,1126-3946,1066-38,1116-233,1216-71,
28,California Architects Board,1236-2442,1126-3910,1066-48,1116-274,1216-44,
14,California Board of Occupational Therapy,1236-2461,1126-3986,1066-27,1116-241,1216-56,
22,Cemetery and Funeral Bureau,1236-2329,1126-3954,1066-78,1116-50,1216-48,
33,Court Reporters Board Of California,1236-2480,1126-3942,1066-495,1116-120,1216-50,
9,Dental Board of California,1236-2307,1126-3934,1066-133,1116-124,1216-51,
6,Dental Hygiene Board of California,1236-2768,1126-3987,1066-496,1116-332,1216-52,
321,Landscape Architects Technical Committee,1236-2769,1126-3925,1066-275,1116-44,1216-54,
16,Medical Board of California,1236-2164,1126-3892,1066-288,1116-238,1216-53,
4,Naturopathic Medicine Committee,1236-2289,1126-3988,1066-497,1116-190,1216-55,
17,Osteopathic Medical Board of California,1236-2291,1126-3969,1066-326,1116-256,1216-58,
15,Physical Therapy Board of California,1236-2474,1126-3968,1066-339,1116-248,1216-60,
18,Physician Assistant Board,1236-2476,1126-4158,1066-340,1116-249,1216-61,
11,Podiatric Medical Board of California,1236-2475,1126-4159,1066-494,1116-49,1216-62,
23,Professional Fiduciaries Licensing Bureau,1236-2770,1126-3977,1066-352,1116-250,1216-67,
13,Respiratory Care Board,1236-2478,1126-3246,1066-480,1116-38,1216-70,
29,Speech-Language Pathology and Audiology and Hearing Aid Dispensers Board,1236-2479,1126-3947,1066-479,1116-233,1216-72,
34,Structural Pest Control Board,1236-2596,1126-3903,1066-71,1116-247,1216-73,
10,Veterinary Medical Board,1236-2642,1126-3904,1066-449,1116-63,1216-74,
36,California Board of Behavioral Sciences,,,,,,
37,"Board For Prof Engineers, Land Surveyors, And Geologists",,,,,,
38,California Veterinary Medical Board,,,,,,
39,Board of Occupational Therapy,,,,,,
40,Board of Psychology,,,,,,
41,Bureau Of Electronic And Appliance Repair,,,,,,
42,California State Board of Optometry,,,,,,
43,Cemetery Bureau,,,,,,
44,Funeral Bureau,,,,,,
45,"Speech-Language Pathology Audiology, Hearing Aid Dispensers",,,,,,
46,California Board of Naturopathic Medicine,,,,,,
